,Pinyin Name,English Name,Latin Name,Attributes,Meridians/Energy_channels,Use Part,Effect,Indication
292,LU XIAN CAO,"Chinese Pyrola Equivalent plant: Pyrola decorata,  Pyrola japonica,  Pyrola incarnata,  Pyrola rotundifolia ,  Pyrola atropurpurea,  Pyrola calliantha var tibetana",Pyrola calliantha  [Syn.  Pyrola rotundifolia  ssp.  chinensis],"Warm,Sweet,Bitter","Liver,Kidney",whole herb,"To dispel wind-damp, strengthen sinews and bones, stanch bleeding.","Pulmonary infection, intestinal infection, urinary tract infection, infant diarrhea, acute dysentery, wind-damp impediment pain, lassitude in lumbus and knees, profuse menstruation, enduring cough."
298,BAI JIE ZI,White Mustard Seed,Sinapis alba,"Warm,Pungent",Lung,seed,"To transform phlegm and expel rheum, dissipate binds and disperse swelling.","Cough and asthma with abundant phlegm, fullness in chest and rib-side pain, numbness in limbs, swelling pain in joints, damp phlegm streaming sore, swelling toxin of flat abscess."
300,ZI WAN,Tatarion Aster,Aster tataricus,"Warm,Pungent,Sweet,Bitter",Lung,root and rhizome,"To moisten lung and precipitate  qi, relieve cough and dispel phlegm.","Cough and asthma with abundant phlegm, consumption cough and hemoptysis."
318,SHAN DOU GEN,Tonkin Sophora Root,Sophora subprostrata [Syn.  Sophora tonkinensis],"Cold,Bitter","Lung,Stomach",root and rhizome,"To clear heat and resolve toxin, disinhibit throat and disperse swelling.","Septicemia, ulcer of uterine cervix, chronic cervicitis, bacillary dysentery, enteritis, hydatid moles, chorioblastoma, asthma, chronic bronchitis, acute tonsillitis, laryngitis, accumulated fire toxin, swelling pain in throat, gingiva painful swelling."
320,MA QIAN ZI,Nut-vomitive Poisonnut Equivalent plant:  Strychnos wallichiana,Strychnos nux-vomica,"Cold,Bitter","Spleen,Liver",seed,"To free network vessels and relieve pain, dissipate binds and disperse swelling.","Hemiplegia, numbness and paralysis, muscle weakness, impotence, hypertrophic spinitis, chronic anemia, wind-damp intractable impediment, sequel of poliomyelitis, rheumatoid arthritis, knocks and falls, swelling pain of welling abscess and flat abscess."
327,CONG BAI,Fistular Onion,Allium fistulosum,"Warm,Pungent","Lung,Stomach",fresh bulb,"To effuse exterior, free  yang , resolve toxin, kill worms.","Wind-cold common cold,  yin cold abdominal pain, inhibited urine and stool, dysentery, swelling pain of welling abscess and sore, abdominal pain due to worm accumulation."
333,MA CHI XIAN,Purslane,Portulaca oleracea,"Cold,Sour","Large Intestine,Liver",aerial parts,"To clear heat and resolve toxin, cool blood and stanch bleeding.","Heat toxin blood dysentery, acute bacillary dysentery, pertussis, enteritis, appendicitis, swollen welling abscess and clove sores, eczema, erysipelas, bleeding, postpartum bleeding, hematochezia, bleeding from hemorrhoids, flooding and spotting, ascariasis, ancylostomiasis, snake or insect bites."
371,WANG BU LIU XING,Cowherb,Vaccaria segetalis  [Syn.  Vaccaria pyramidata ],"Mild,Bitter","Stomach,Liver",seed,"To quicken blood and free menstruation, promote lactation and disperse edema.","Galactostasis, amenorrhea, dysmenorrhea, mammary welling abscess."
400,TIAN HUA FEN,Mongolian Snakegourd Root,Trichosanthes kirilowii,"Bitter, slightly sweet,cold","Lung,stomach",root,"To clear heat and engender liquid, disperse swelling and expel pus.","Febrile diseases thirst, lung heat dry cough, diabetes mellitus due to internal heat, toxin swelling of sores, induce abortion."
408,JUE MING ZI,Sickle Senna Seed,Cassia tora,"Sweet, bitter,slightly cold","Liver,large intestine",ripe seed,See  Cassia obtusifolia.,See Cassia obtusifolia.
417,WU WEI ZI,Chinese Magnoliavine Equivalent plant: Schisandra sphenanthera,Schisandra chinensis,"Warm,Sour","Lung,Heart,Kidney",fruit,"To promote contraction and secure astriction, boost qi  and engender liquid, quiet heart and spirit.","Enduring cough and vacuity asthma, dream emission, frequent urination and enuresis, incessant chronic diarrhea, spontaneous sweating and night sweating, fluid damage and thirst, palpitation and insomnia."
453,TU MU XIANG,Elecampane Inula Equivalent plant: Inula racemosa,Inula helenium,"Warm,Pungent,Bitter","Spleen,Liver",root,"To fortify spleen and harmonize stomach, regulate qi  and  resolve depression, relieve pain and quiet fetus.","Distending pain in chest and rib-side, distending pain in stomach duct, vomiting and diarrhea, contusion in chest and rib-side, forking  qi  with pain, stirring fetus in pregnancy."
491,LAO GUAN CAO,"Wilford Cranesbill Equivalent plant:  Erodium stephanianum , Geranium sibiricum , Geranium nepalense ,  Geranium pratense",Geranium wilfordii,"Mild,Pungent,Bitter","Stomach,Liver",aerial parts,"To dispel wind-damp, free channels and network vessels, check dysentery and diarrhea.","Wind-damp impediment pain, hypertonicity and numbness, aching sinews and bones, diarrhea and dysentery."
501,XIN YI,"Lily Magnolia Buds Equivalent plant: Magnolia liliflora, Magnolia sprengeri ,  Magnolia biondii , Magnolia denudata",Magnolia liliflora,"Warm,Pungent","Lung,Stomach",flower bud,"To dissipate wind-cold, relieve stuffed nose.","Wind-cold common cold, headache, nasal congestion and runny nose, nasitis, nasosinusitis."
529,JIN YING ZI,Cherokee Rose Seed,Rosa laevigata,"Mild,Sour,Punkery","Bladder,Large Intestine,Kidney",fruit,"To secure essence and reduce urine, astringe intestines and check diarrhea.","Emission, enuresis and frequent urination, flooding and spotting with vaginal discharge, chronic diarrhea and dysentery."
553,CHAN SU,Toad Skin Secretion Cake,"Bufo bufo gargarizans,  Bufo melanostictus","Warm,Pungent",Heart,dried secretion of skin glands,"To resolve toxin, relieve pain, open orifices and arouse spirit.","Welling abscess and flat abscess with clove sores, swelling pain in throat, summerheat stroke with vomiting and diarrhea, abdominal pain and clouded spirit, local anesthesia."
555,GAN JIANG,Common Ginger Dried Rhizome,Zingiber officinale,"Hot,Pungent","Lung,Spleen,Stomach,Heart,Kidney",dried rhizome,"To warm center and dissipate cold, return yang  and free vessels, warm lung and transform rheum.","Cold pain in stomach duct and abdomen, vomiting, diarrhea, yang -collapse reversal flow, cold rheum asthma cough, cold-damp impediment pain."
559,MA HUANG,"Chinese Ephedra Equivalent plant: Ephedra equisetina , Ephedra intermedia ,  Ephedra minuta , Ephedra monosperma, Ephedra likiangensis,  Ephedra saxatilis, Ephedra gerardiana",Ephedra sinica,"Warm,Pungent,Slightly Bitter","Lung,Bladder",herbaceous twigs,"To effuse sweat and resolve exterior, diffuse lung and calm asthma, disinhibit water and disperse edema.","Wind-cold exterior repletion syndrome, headache without sweating, headache and generalized pain, cough, fever, fever and aversion to wind, absence of sweating, congesting lung, non-diffusion of lung qi, cough and asthma, bronchial asthma, wind water edema, nasal congestion, allergic rhinitis, inhibited urination, wind-damp impediment pain, muscle numbness, wind papule itching,  yin  flat abscess and phlegm node."
569,BAI GUO YE,Ginkgo Leaf,Ginkgo biloba,"sweet,bitter,astringent,neutral","heart,lung",leaf,"To quicken blood and nourish heart, constrain lung and astringe intestines.","Coronary heart disease, angina pectoris, hypercholesterolemia, Parkinson’s disease, peripheral arterial diseases, chest impediment and heart pain, cough of phlegm asthma, diarrhea and dysentery, vaginal discharge, emission, retinal insufficiency syndrome."
591,LU LU TONG,Beautiful Sweetgum,Liquidambar formosana  [Syn.  Liquidambar taiwaniana],"Mild,Bitter","Stomach,Liver,Kidney",inflorescence,"To expel wind and eliminate damp, soothe liver and quicken network vessels, disinhibit water.","Wind-damp impediment pain, numbness in limbs, hypertonicity of limbs, pain in stomach duct and abdomen, amenorrhea, galactostasis, edema distention fullness, eczema."
597,LING MAO XIANG,Civet,Viverra zibetha,"Warm,Pungent","Liver,Heart,Kidney",secretion with a musky odor secreted from anal scent glands,"To move  qi , quicken blood, quiet spirit, relieve pain.","Sudden pain in heart and abdomen, mounting  qi ."
638,JI NEI JIN,Chicken’s Gizzard Endothelium,Gallus gallus domesticus,"Mild,Sweet","Bladder,Spleen,Stomach,Small Intestine",dried lining membrane of gizzard,"To fortify spleen and disperse food, rough essence and arrest emission, disperse concretion and transform stone.","Indigestion, food stagnation, vomiting nausea, diarrhea and dysentery, child  gan  accumulation, emission, enuresis, frequent urination, calculus of urinary system, gallstones, amenorrhea with concretion and conglomeration, throat impediment with nipple moth,  gan  of teeth and gum, mouth sore."
665,DA SUAN,Garlic,Allium sativum,"Warm,Pungent","Lung,Spleen,Stomach",bulb,"To warm center and move stagnation, resolve toxin, kill worms.","Cold pain in stomach duct and abdomen, diarrhea, dysentery, bacillary dysentery, amebic dysentery, tuberculosis, epidemic encephalitis, cholera, trichomoniasis, laryngeal carcinoma, pertussis, throat impediment, dry cough, common cold, malaria, edema, swelling toxin of welling abscess and boil, intestinal welling abscess, lichen sore, snake or insect bites, ancylostomiasis, oxyuria disease, taenia infection, vaginal discharge and pudendal itch, clavus."
700,XIAO JI,Setose Thistle,Cirsium setosum,"Cool,Sweet,Bitter","Liver,Heart",whole herb or root,"To cool blood and stanch bleeding, clear heat and disperse swelling.","Coughing of blood, blood ejection, spontaneous external bleeding, hematuria, blood strangury, hematochezia, blood dysentery, flooding and spotting, bleeding due to external injury, swelling toxin of welling abscess and flat abscess."
780,GU JING CAO,Pipewart,Eriocaulon buergerianum,"Mild,Sweet","Stomach,Liver",flower head with peduncle,"To dispel wind and dissipate heat, brighten eyes and eliminate eye screens.","Distended red eyes and screen, delacrimation and photophobia, night blindness, headache, deep-source nasal congestion, throat impediment, toothache, wind papule itching."
782,ROU CONG RONG,Desertliving Cistanche Equivalent plant: Cistanche salsa,Cistanche deserticola,"Warm,Sweet,Salty","Large Intestine,Kidney",fleshy stem,"To supplement kidney and invigorate  yang , boost essence and blood, moisten intestines and free stool.","Impotence, infertility, backache, limp aching lumbus and knees, weakness in sinews and bones, intestinal dry and constipation."
806,MING DANG SHEN,Medicinal Changium,Changium smyrnioides,"Minor cold,Sweet,Slightly Bitter","Lung,Spleen,Liver",root,"To moisten lung and transform phlegm, nourish yin and harmonize stomach, resolve toxin.","Lung heat cough, vomiting nausea, reduced food intake with dry mouth, anemia, dizziness, leukorrhea, clove toxin sores."
831,BING PIAN,Borneol,Dryobalanops aromatica,"Minor cold,Pungent,Bitter","Lung,Spleen,Heart",resin,"To open orifices and free spirit, dissipate heat and relieve pain, eliminate screen and brighten eyes.","Angina pectoris, phlegm reversal, wind stroke, coma, convulsion, swelling pain in throat, mouth sore, swollen and painful eyes, sores, ulcer."
853,ZAO JIA,Chinese Honeylocust,Gleditsia sinensis  [Syn.  Gleditsia horrida],"Warm,Pungent","Lung,Large Intestine",fruit,"To relieve cough and dispel phlegm, open orifices, kill worms and dissipate binds.","Cough of phlegm asthma, wind stroke clenched jaw, phlegm-drool and congesting lung, clouded spirit with loss of speech, epilepsy, throat impediment, urinary and fecal stoppage, swollen welling abscess, scab and lichen."
869,HU JIAO,Black Pepper,Piper nigrum,"Hot,Pungent","Large Intestine,Stomach",fruit,"To warm center and dissipate cold, precipitate qi,  disperse phlegm.","Vomiting with stomach cold, abdominal pain and diarrhea, inappetence, convulsion, epilepsy and profuse phlegm."
956,PU GONG YING,Mongolian Dandelion,Taraxacum mongolicum,"Cold,Sweet,Bitter","Stomach,Liver",aerial parts,"To clear heat and resolve toxin, dissipate binds and disperse swelling, disinhibit urine and free strangury.","Epidemic parotitis, infection of upper respiratory tract, tonsillitis, laryngitis, sore pharynx, mastitis, hepatitis, swelling toxin of clove sore, mammary welling abscess, scrofula, red eyes, pulmonary welling abscess, damp-heat jaundice, heat strangury with inhibited pain."
1055,KUN BU,"Kelp Thallus Equivalent plant: Ecklonia kurome ,  Undaria pinnatifida",Laminaria japonica,"Cold,Salty","Stomach,Liver,Kidney",dried thallus,"To soften hardness and dissipate binds, dispel phlegm, disinhibit water.","Goiter and tuberculosis, scrofula, bleeding, painful swollen testes, phlegm-rheum and edema, prevention of cataracts."
1085,YI YI REN,Jobstears Seed,Coix lacryma- jobi  var. ma - yuen,"Minor cold,Sweet,Neutral","Lung,Spleen,Stomach",seed,"To fortify spleen and percolate damp, eliminate impediment and check diarrhea, clear heat and expel pus.","Edema, beriberi,   inhibited urination, damp impediment and hypertonicity, spleen vacuity diarrhea, pulmonary welling abscess, intestinal welling abscess, flat wart."
1101,SHI JUN ZI,Rangooncreeper,Quisqualis indica,"Warm,Sweet","Spleen,Stomach",ripe fruit,"To resolve toxin and kill worms, eliminate food stagnation.","Ascariasis, oxyuria disease, child  gan  accumulation."
1114,BAI HE,"Greenish Lily Equivalent plant:  Lilium tigrinum,  Lilium pumilum,  Lilium longiflorum",Lilium brownii var. viridulum  [Syn.  Lilium brownii var. colchesteri ],"Minor cold,Sweet",Heart,bulb,"To nourish yin and moisten lung, clear heart and quiet spirit.","Yin vacuity enduring cough, phlegm containing blood, fright palpitation and vacuity vexation, insomnia and frequent dreaming, trance."
1120,ZHI ZI,Cape Jasmine Fruit,Gardenia jasminoides [Syn.  Gardenia florida ],"Cold,Bitter","Lung,Stomach,Liver,Heart",ripe fruit,"To drain fire and relieve dysphoria, clear heat and disinhibit urine, eliminate heat in blood, stanch bleeding.","Acute icterohepatitis, febrile diseases, vexation, melancholia, restlessness, stagnation of damp-heat in liver and gall, fever, jaundice, short voidings of reddish urine, blood ejection, spontaneous external bleeding, dysentery with hematochezia and hematuria."
1125,BAI WEI,Blackend Swallowwort,Cynanchum atratum,"Cold,Bitter,Salty","Stomach,Liver",root,See  Tylophora ovata .,See  Tylophora ovata .
1166,YE MING SHA,Bat Dung,Vespertilio superans,"Cold,Pungent",Liver,dried feces,"To clear heat and brighten eyes, dissipate blood and eliminate accumulation.","Clear-eye blindness, night blindness, internal or external obstruction and screen, scrofula,  gan  accumulation, malaria."
1175,MU TONG,"Fiveleaf Akebia Equivalent plant:  Akebia trifoliata var  australis ,  Akebia trifoliata",Akebia quinata,"Cold,Bitter","Bladder,Small Intestine,Heart",stem,"To clear heat and disinhibit urine, quicken blood and free vessels.","Acute urethritis, short voidings of reddish urine, strangury-turbidity, edema, nephritis with edema, galactostasis, heat vexation in chest, throat pain, mouth sore, tongue sores, wind-damp impediment pain, galactostasis, amenorrhea, dysmenorrhea."
1211,CHA YE,Common Tea,Camellia sinensis [Syn.  Thea sinensis],"Cool,Sweet,Bitter","Lung,Stomach,Heart",tender leaf or tender bud,"To clear head and eyes, eliminate vexation and allay thirst, disperse food, transform phlegm, disinhibit urine, resolve toxin.","Headache, dim vision, red eyes, desire to sleep, common cold, vexation and thirst, food accumulation, bad breath, phlegm asthma, epilepsy, inhibited urination, diarrhea, throat swelling, swelling of sores and boils, burns and scalds."
1248,ZE XIE,Oriental Waterplantain,Alisma orientale  [Syn.  Alisma plantago-aquatica var. orientale],"Cold,Sweet,Neutral","Bladder,Kidney",tuber,"To lower cholesterol, disinhibit water and percolate damp, drain heat and free strangury, lower blood sugar levels.","Hyperlipemia, inhibited urination, heat strangury with inhibited pain, edema distention fullness, diarrhea, phlegm-rheum dizziness, emission."
1255,SANG YE,"White Mulberry Leaf Equivalent plant:  Morus mongolica, Morus australis ,  Morus cathayana",Morus alba,"Cold,Sweet,Bitter","Lung,Liver",leaf,"To course wind and dissipate heat, clear lung and moisten dryness, clear liver and brighten eyes.","Wind-heat common cold, lung heat dry cough, dizziness and headache, red eyes and clouded vision."
1268,ZONG LV PI,Fortune Windmillpalm,Trachycarpus fortunei,"Mild,Bitter,Punkery","Lung,Large Intestine,Liver",petiole and fibre of sheath,To promote contraction and stanch bleeding.,"Blood ejection, spontaneous external bleeding, hematuria, hematochezia, flooding, bleeding due to external injury."
1327,XU DUAN,Japanese Teasel,Dipsacus japonicus,"Minor Warm,Pungent,Sweet,Bitter","Liver,Kidney",root,See  Dipsacus asperoides.,See  Dipsacus asperoides.
1342,SAN QI,Sanchi,Panax pseudo - ginseng  var. notoginseng  [Syn.  Panax notoginseng ],"Warm,Pungent,Slightly Bitter","Stomach,Liver",root,"To stanch bleeding and dissipate stasis, disperse swelling and settle pain.","Hemoptysis, blood ejection, spontaneous external bleeding, hematochezia, flooding and spotting, bleeding due to external injury, angina pectoris, stabbing pain in chest and abdomen, painful swelling from knocks and falls."
1346,BAI JI,Common Bletilla,Bletilla striata,"Cold,Sweet,Bitter,Punkery","Lung,Stomach,Liver",rhizome,"To promote astriction and stanch bleeding, disperse swelling and engender flesh.","Hemoptysis, blood ejection, spontaneous external bleeding, hematochezia, bleeding due to external injury, swelling toxin of welling abscess and sore, burns and scalds, cracking of hands and feet, splitting of anus."
1373,HONG HUA,Safflower,Carthamus tinctorius,"Warm,Pungent","Liver,Heart",flower,"To quicken blood and free menstruation, dissipate stasis and relieve pain.","Amenorrhea, dysmenorrhea, retention of lochia, angina pectoris, cerebral thrombosis, neurodermatitis, concretion and conglomeration, lump glomus, knocks and falls, swollen pain due to bleeding."
1374,JIN YIN HUA,"Japanese Honeysuckle Equivalent plant:  Lonicera confusa , Lonicera hypoglauca ,  Lonicera fulvotomentosa,  Lonicera macranthoides, Lonicera bournei,  Lonicera similis",Lonicera japonica,"Cold,Sweet","Lung,Stomach,Heart",flower bud,To clear heat and resolve toxin.,"Infection of upper respiratory tract, tonsillitis, acute laryngitis, skin suppurations, welling abscess, viral conjunctivitis, influenza, pneumonia, mastitis, acute appendicitis, warm disease fever, heat toxin blood dysentery, swollen welling abscess and clove sores, throat impediment."
1401,CHUAN LIAN ZI,Szechwan Chinaberry Fruit,Melia toosendan,"Cold,Bitter","Bladder,Stomach,Small Intestine,Liver",fruit,"To soothe liver, move qi ,  relieve pain, expel worms.","Chest and rib-side pain, distending pain in stomach duct, mounting  qi ,   abdominal pain due to worm accumulation."
1421,MAI DONG,Liriope Equivalent plant:  Liriope spicata var  prolifera,Ophiopogon japonicus,"Minor cold,Minor Cool,Sweet","Lung,Stomach,Heart",tuberoid,"To nourish yin  and   engender liquid, moisten lung and clear heart.","Angina pectoris, dry cough due to lung dryness, vacuity consumption with cough, fluid damage and thirst, insomnia and vexation, diabetes mellitus due to internal heat, intestinal dry and constipation, diphtheria."
1424,ZI HE CHE,Human Placenta,Homo sapiens,"Warm,Sweet,Salty","Lung,Liver,Heart,Kidney",human placenta,"To supplement  qi,  nourish blood, boost essence.","Vacuity detriment, marked emaciation, steaming bone taxation fever, cough and asthma, hemoptysis, night sweating, emission, impotence,  qi -blood depletion, infertility, scant breast milk."
1437,DANG GUI,Chinese Angelica Equivalent plant:  Phlojodicarpus sibiricus,Angelica sinensis,"Warm,Pungent,Sweet","Spleen,Liver,Heart",root,"To nourish blood and regulate menstruation, quicken blood, relieve pain, moisten intestines and relieve constipation.","Women’s diseases, blood deficiency syndrome, menstrual disorder, amenorrhea and dysmenorrhea, dysmenorrhea due to anemia, thrombophlebitis, neuralgia, arthritis, chronic nephritis, constrictive aortitis, blood vaculty, pernicious anemia, anemia due to folic acid deficiency, dysentery, hepatitis, Raynaud’s disease, lumbago, various pains due to blood stasis and rheumatic impediment, sores, welling abscess, constipation, ulcer in gastrointestinal tract, skin diseases, eczema, dermatitis, neurodermatitis, psoriasis."
1463,XI YANG SHEN,American Ginseng,Panax quinquefolium,"Cold,Sweet,Slightly Bitter","Lung,Heart,Kidney",root,"To supplement  qi and nourish yin,  clear fire and engender liquid.","Qi  vacuity,  yin depletion and effulgent fire, cough and asthma with phlegm-blood, vacuity heat and vexation fatigue, diabetes mellitus due to internal heat, thirst with dry throat."
1511,GUA LOU,Mongolian Snakegourd Equivalent plant:  Trichosanthes rosthornii,Trichosanthes kirilowii,"Cold,Sweet,Slightly Bitter","Lung,Large Intestine,Stomach",fruit,"To clear heat and resolve phlegm, loosen chest and dissipate binds, moisten dryness and lubricate intestines.","Angina pectoris, lung heat cough, chest impediment, diabetes mellitus, acute mastitis, constipation, swelling toxin of welling abscess and sore."
1522,WEI LING XIAN,Chinese Clematis,Clematis chinensis,"Warm,Pungent,Salty",Bladder,root,"To dispel wind and eliminate damp, free network vessels and relieve pain.","Common cold, tonsillitis, acute icterohepatitis, laryngitis, rheumatic arthritis, wind-damp impediment pain, numbness in limbs, hypertonicity of sinews and vessels, bone stuck in throat."
1556,JIE GU MU,Elder* Equivalent plant:  Sambucus nigra,Sambucus williamsii,"Mild,Sweet,Bitter","Liver,Kidney",stem-branch,"To dispel wind and disinhibit damp, quicken blood, stanch bleeding.","Wind-damp impediment pain, pain wind, osteoarthritis, acute nephritis, chronic nephritis, wind papules, knocks and falls, swelling pain from fracture, bleeding due to external injury."
1582,QU MAI,"Lilac Pink Equivalent plant: Dianthus chinensis ,  Dianthus versicolor",Dianthus superbus,"Cold,Bitter","Bladder,Small Intestine,Heart",aerial parts,"To disinhibit urine and free strangury, break blood and free menstruation, anticancer.","Strangury, heat strangury, blood strangury, stone strangury, urinary tract infection, urinary stoppage, dripping with inhibited pain, amenorrhea, carcinoma of esophagus, carcinoma of rectum."
1587,REN ZHONG BAI,Human Urine Sediment,Homo sapiens,"Cold,Salty","Lung,Bladder,Liver",sediment of human urine,"To clear heat, downbear fire, disperse stasis.","Taxation fever, lung wilting, spontaneous external bleeding, blood ejection, throat impediment,  gan  of teeth and gum, mouth sore, tongue sores."
1595,YIN CHAI HU,Lanceolate Starwort,Stellaria dichotoma var. lanceolata,"Minor cold,Sweet","Stomach,Liver",root,"To clear vacuity heat, eliminate gan fever.","Yin vacuity fever, steaming bone taxation fever, child gan  fever."
1596,NAN GUA ZI,Cushaw Seed,Cucurbita moschata,"Sweet,neutral","Stomach,large intestine",seed,"To expel worms, promote lactation, disinhibit water and disperse edema.","Taeniasis, ascariasis, bilharziosis, ancylostomiasis, oxyuria disease, postpartum scant milk, postpartum edema, pertussis, hemorrhoids."
1615,MEI GUI HUA,Rugose Rose Flower,Rosa rugosa,"Warm,Sweet,Slightly Bitter","Spleen,Liver",bud,"To move  qi  and relieve depression, harmonize blood, relieve pain.","Liver stomach  qi  pain, reduced food intake with nausea and vomiting, menstrual disorder, painful wound from knocks and falls."
1655,TU FU LING,Glabrous Greenbrier Equivalent plant: Smilax menispermoidea,Smilax glabra,"Mild,Sweet,Neutral","Stomach,Liver",rhizome,"To eliminate damp, resolve toxin, free joints.","Damp-heat with strangury turbidity, vaginal discharge, swollen welling abscess, scrofula, scab and lichen, syphilis, mercurial poisoning."
1733,RU XIANG,Olibanum,Boswellia carterii,"Warm,Pungent,Bitter","Spleen,Liver,Heart",balsam,"To move  qi  and quicken blood,  free menstruation and relieve pain, disperse swelling and engender flesh.","Pain in heart and abdomen, wind-damp impediment pain, amenorrhea, dysmenorrhea, stasis pain from knocks and falls, swelling toxin of welling abscess and flat abscess, intestinal welling abscess, enduring sores."
1751,JI GUAN HUA,Common Cockscomb Flower,Celosia cristata,"Cool,Sweet","Large Intestine,Liver",inflorescence,"To cool blood and stanch bleeding, check discharge, check diarrhea.","Bleeding, vaginal discharge, diarrhea, dysentery."
